"MASP","MALOAI","TENSP","DONVITINH","LATHUOC","GIABAN"
"SP001","LSP01","Gọng kính titan siêu nhẹ nam","Chiếc","0","850000"
"SP002","LSP01","Gọng kính acetate thời trang nữ","Chiếc","0","650000"
"SP003","LSP01","Gọng kính TR90 chống gãy","Chiếc","0","450000"
"SP004","LSP01","Gọng kính trẻ em chống sốc","Chiếc","0","380000"
"SP005","LSP02","Tròng kính chống ánh sáng xanh 1.56","Chiếc","0","1200000"
"SP006","LSP02","Tròng kính chống UV 1.67 mỏng","Chiếc","0","1800000"
"SP007","LSP02","Tròng kính đa tròng Essilor","Chiếc","0","3500000"
"SP008","LSP02","Tròng kính photochromic đổi màu","Chiếc","0","2200000"
"SP009","LSP03","Kính áp tròng ngày Acuvue Oasys","Hộp","0","420000"
"SP010","LSP03","Kính áp tròng tháng Bausch Lomb","Chiếc","0","180000"
"SP011","LSP03","Kính áp tròng màu Freshlook 1 ngày","Hộp","0","380000"
"SP012","LSP03","Dung dịch ngâm kính áp tròng 360ml","Chai","0","120000"
"SP013","LSP04","Systane Ultra – Nhỏ mắt nhân tạo","Lọ","1","95000"
"SP014","LSP04","Tobramycin 0.3% – Kháng sinh mắt","Lọ","1","65000"
"SP015","LSP04","Ketotifen – Chống dị ứng mắt","Lọ","1","55000"
"SP016","LSP04","Refresh Tears – Dưỡng ẩm mắt","Lọ","1","75000"
"SP017","LSP04","Natri Hyaluronat 0.1% – Khô mắt","Lọ","1","125000"
"SP018","LSP05","Vitamin A+E bổ mắt Rohto","Hộp","1","145000"
"SP019","LSP05","Lutein Complex bổ võng mạc","Hộp","1","285000"
"SP020","LSP05","Omega-3 DHA hỗ trợ thị lực","Hộp","1","195000"
"SP021","LSP06","Hộp đựng kính da cao cấp","Cái","0","85000"
"SP022","LSP06","Khăn lau kính microfiber","Cái","0","25000"
"SP023","LSP06","Xịt vệ sinh kính chống bám bụi","Chai","0","55000"
"SP024","LSP06","Dây đeo kính thể thao silicon","Cái","0","35000"
"SP025","LSP07","Kính lúp cầm tay 5x chống mỏi mắt","Cái","0","320000"
"SP026","LSP07","Kính bảo hộ chống tia UV400","Cái","0","280000"
"SP027","LSP07","Đèn đọc sách LED bảo vệ mắt","Cái","0","450000"
"SP028","LSP07","Mắt kính thực tế tăng cường AR","Cái","0","4500000"
