"MAPX","MALO","SOLUONGXUAT"
"PX_HD001","LO001","1"
"PX_HD001","LO009","2"
"PX_HD002","LO002","1"
"PX_HD002","LO009","2"
"PX_HD003","LO013","2"
"PX_HD003","LO015","1"
"PX_HD004","LO001","1"
"PX_HD004","LO011","2"
"PX_HD005","LO001","1"
"PX_HD005","LO010","2"
"PX_HD006","LO027","1"
"PX_HD006","LO007","1"
"PX_HD007","LO019","1"
"PX_HD007","LO020","1"
"PX_HD008","LO012","2"
"PX_HD009","LO003","1"
"PX_HD009","LO010","2"
"PX_HD010","LO001","1"
"PX_HD010","LO011","2"
"PX_HD011","LO007","2"
"PX_HD011","LO008","1"
"PX_HD012","LO009","2"
"PX_HD013","LO018","1"
"PX_HD013","LO019","1"
"PX_HD014","LO025","2"
"PX_HD015","LO006","1"
